breed_code,sex,name,birthday,color,color_code,coat_type_code,weight_kg,microchip,genes,breeder_note,is_self_bred,is_external,breeder_name,supplier_name,acquired_on,status,note
ML,♀,いちご,2025-06-25,,,,2.1,392146001784004,,レモン・歌舞伎,True,False,,,2025-06-25,在籍,
ML,♀,あんず,2025-06-25,,,,2.0,392146001783375,,レモン・歌舞伎,True,False,,,2025-06-25,在籍,
ML,♀,カシス,2025-08-03,,,,1.9,392146001786772,,メロン・歌舞伎,True,False,,,2025-08-03,在籍,
ML,♀,オレンジ,2025-08-03,,,,1.9,392146001786148,,メロン・歌舞伎,True,False,,,2025-08-03,在籍,
CI,♀,ポポ,2021-06-15,BK,BK,,3.9,392149002136572,PRA,ジェシカ・チョコ西村,False,False,シャルム,シャルム,,在籍,
CI,♀,ミミ,2021-06-15,FN,FN,,2.9,392149002136580,PRA,ローラ・エミール,False,False,シャルム,シャルム,,在籍,
CI,♀,ロロ,2021-11-25,BK T,BKT,,2.6,392149002491105,,ルル・チョコ西村,True,False,,,2021-11-25,在籍,
CI,♀,ジョジョ,2022-05-27,BK T,BKT,,2.6,392149002198615,,フェンディー・エミール,True,False,,,2022-05-27,在籍,
CI,♀,ジュジュ,2022-05-27,BK T,BKT,,2.5,392149002198610,,フェンディー・エミール,True,False,,,2022-05-27,在籍,
CI,♀,モモ,2022-06-14,FN,FN,,2.2,392149002198700,,ララ・ダンディ,True,False,,,2022-06-14,在籍,
CI,♀,クロミ,2022-07-10,BK,BK,,2.3,392149002220289,,ミミ・シーザー,True,False,,,2022-07-10,在籍,
CI,♀,チコ,2022-08-23,RD,RD,,2.1,392146001009587,,キキ・姉デップ,True,False,,,2022-08-23,在籍,
CI,♀,テテ,2023-02-22,BK WH,BKW,,2.5,392149002308981,,キキ・タイガ,True,False,,,2023-02-22,在籍,
CI,♀,トト,2023-03-30,CR,CR,,2.9,392149002083297,親PRA,ポポ・ダンヒル,True,False,,,2023-03-30,在籍,
CI,♀,ノン,2023-05-08,CR,CR,,3.0,392149002323835,親PRA,リズム・ケント,True,False,,,2023-05-08,在籍,
CI,♀,ラン,2023-04-27,牛,BKW,,3.0,392149002320278,親PRA,ルル・ダンヒル,True,False,,,2023-04-27,在籍,
CI,♀,リン,2023-04-27,BK,BK,,2.8,392149002320282,親PRA,ルル・ダンヒル,True,False,,,2023-04-27,在籍,
CI,♀,リリ,2023-04-11,BK,BK,,3.1,392149002320123,PRA,ピンキー・タイガ,False,False,シャルム,シャルム,,在籍,
CI,♀,ルル,2024-06-21,CHLT,CHLT,,,392149002475730,親PRA,ロロ・ハーツ,True,False,,,2024-06-21,在籍,
CI,♀,クク,2024-06-21,BK,BK,,,392149002475729,親PRA,ロロ・ハーツ,True,False,,,2024-06-21,在籍,
CI,♀,ララ,2024-07-15,CR,CR,,2.3,392149002497854,親PRA,ピピ・ヴァン,True,False,,,2024-07-15,在籍,
CI,♀,ぽにょ,2024-08-06,CR H,CHLTW,,,392144000883659,,ゴールデンハウス(日比生),False,False,,,,在籍,
CI,♀,キキ,2025-01-11,BK,BK,,2.2,392149002541659,,五右衛門・あたる,False,False,ゴールデンハウス,ゴールデンハウス,,在籍,
CI,♀,ビビ,2025-01-29,BK,BK,,2.2,392146001607253,,リトルメイト,False,False,リトルメイト,リトルメイト,,在籍,
CI,♀,みるく,2025-04-08,CR,CR,,2.3,392146001691880,PRA△,ぷぷ・ポロ,True,False,,,2025-04-08,在籍,
CI,♀,ひまわり,2025-05-19,CR,CR,,1.7,392149002541555,,炭二郎・ひまIII,False,False,ゴールデンハウス,ゴールデンハウス,,在籍,
CI,♀,ムム,2025-06-10,BK,BK,,2.4,392146001627155,父PRA,リトルメイト,False,False,リトルメイト,リトルメイト,,在籍,
CI,♀,マム,2025-06-21,マール,MERLE,,1.6,392146001489950,,クク・クリフ,True,False,,,2025-06-21,在籍,
CI,♀,うる,2025-09-02,クリーム,CR,,,392149002648530,,アップルプリンセス,False,False,,,,在籍,
CI,♀,ぷぷ,2025-10-18,CR,CR,,1.6,392146001718603,,ぷぷ・ポロ,True,False,,,2025-10-18,在籍,
BFR,♀,パール,2022-09-12,,,,4.3,392149002240862,DM,ソフィア・コナン,True,False,,,2022-09-12,在籍,
BFR,♀,サファイヤ,2024-09-12,,,,3.6,392146001502841,,ルビー・ハーレー,True,False,,,2024-09-12,在籍,
BFR,♀,琥珀,2024-08-01,,,,3.6,392146001528041,両親DM,ララペット,False,False,lala,lala,,在籍,
BFR,♀,真珠,2025-11-29,,,,,392146001856818,両親PRA,ララペット,False,False,lala,lala,,在籍,
CI,♂,クリフ,2023-03-08,マール,MERLE,,2.1,392149002308983,PRA,マルシェ・ロロ,True,False,,,2023-03-08,在籍,
CI,♂,ヴァン,2023-02-22,BK,BK,,2.6,392149002308980,,タイガ・キキ,True,False,,,2023-02-22,在籍,
CI,♂,ピケ,2023-07-26,BK WH,BKW,,1.6,392149002433082,PRA,,False,False,,Y.MINYHOUSE,,在籍,
CI,♂,ポロ,2023-11-26,BK,BK,,2.0,392146001349119,PRA△,,False,False,,momo,,在籍,
CI,♂,ピアジェ,2024-07-03,CR,CR,,1.2,392146001492493,PRA,一郎・クィーン,False,False,,ゴールデンハウス,,在籍,
CI,♂,モツ,2024-07-13,マール,MERLE,,2.1,392144000885258,,クリフ・リズム,True,False,,,2024-07-13,在籍,
CI,♂,グラフ,2025-01-03,FN,FN,,2.2,392149002541662,PRA,炭二郎・ハニー,False,False,,ゴールデンハウス,,在籍,
TP,♂,ルイ,2022-02-02,RD,RD,,2.8,392149002175243,PRA・DM-vwd,,True,False,,,2022-02-02,在籍,
TP,♂,エルメス,2023-05-07,CR,CR,,2.1,392149002075224,PRA・DM-vwd,,False,False,,,,在籍,
TP,♂,ヴィトン,2023-04-21,RD,RD,,2.2,392149002320117,PRA・DM,,True,False,,,2023-04-21,在籍,
TP,♂,モンクレール,2025-07-25,AP,AP,,1.5,392149002624767,PRA・DM・vWD,,False,False,,,,在籍,
ML,♂,ディオ,2022-08-02,,,,2.4,392149002228354,DM・グルコーゲン,,True,False,,,2022-08-02,在籍,
ML,♂,ドルチェ,2024-01-03,,,,2.3,392149002413199,グルコーゲン,,True,False,,,2024-01-03,在籍,
ML,♂,プラダ,2024-05-13,,,,2.3,392149002464984,グルコーゲン,,True,False,,,2024-05-13,在籍,
ML,♂,ハリー,2024-11-16,,,,1.8,392144000903168,グルコーゲン,,False,False,,lalapet,,在籍,
BFR,♂,ハク,2025-06-03,,,,2.3,392146001783525,DM,,False,False,,テイクオフ,,在籍,
PO,♂,ウルフ,2026-02-17,,,,,392146001891333,,,False,False,,絆,,在籍,
CI,♂,ハーツ,2022-10-22,,,,2.8,392149002267999,PRA,,False,False,,Y.MINYHOUSE,,退役,
TP,♂,ロレックス,2024-06-28,,,,1.9,392146001460793,,,False,False,,ファンドル,,退役,
CI,♂,ダンヒル,2022-03-01,,,,3.0,392149002175241,PRA,,False,False,,イング,,退役,
CI,♂,ゆきお,2022-08-05,,,,2.4,392149002232608,,,True,False,,,2022-08-05,退役,
CI,♂,つばさ,2020-04-24,,,,,,,,False,False,,シャルム,,退役,
CI,♂,ポール,2022-08-05,,,,2.4,392149002228355,,,True,False,,,2022-08-05,退役,
CI,♂,ハリー（退役）,2022-11-07,,,,2.4,392146001090485,PRA,,False,False,,エンジェルクラウン,,退役,
ML,♂,プラダ（退役）,2022-08-23,,,,2.3,,,,False,False,,エブリワン,,退役,【移行時保留】マイクロチップ 392149002464984 は「プラダ」と重複していたため空にしています。正しい番号を確認して入力してください。
CI,♂,クロム,2021-11-23,,,,2.4,392149002296897,PRA,,True,False,,,2021-11-23,退役,
CI,♂,ラルフ,2023-02-25,,,,2.5,392144000693893,PRA,,False,False,,ローズクイーン,,退役,
CI,♂,バリー,2022-08-19,,,,2.5,392149002248711,,,False,False,,プチベベ,,退役,
ML,♂,歌舞伎,,,,,,,,,False,True,,,,退役,
BFR,♂,ハーレ,,,,,,,,,False,True,,,,退役,
TP,♂,アル,,,,,,,,,False,True,,,,退役,
